# test_score,train_score,cost
3.875000000000000111e-01,3.846153846153846367e-01,7.580766718698958684e+00
3.875000000000000111e-01,3.846153846153846367e-01,6.646051435645563554e-01
3.875000000000000111e-01,3.846153846153846367e-01,6.589941437639248445e-01
3.875000000000000111e-01,3.846153846153846367e-01,6.528419687505957469e-01
3.875000000000000111e-01,3.846153846153846367e-01,6.452695732791058347e-01
3.875000000000000111e-01,3.846153846153846367e-01,6.347005860647753073e-01
3.875000000000000111e-01,3.846153846153846367e-01,6.178342644602821121e-01
5.680194558443532049e-01,5.680998041035159041e-01,5.884521558631331528e-01
7.598968407479045339e-01,8.158053703832398584e-01,5.428829730261545139e-01
8.318627450980391469e-01,8.764873393365657517e-01,4.878780187089512554e-01
8.584496870486277853e-01,9.099001346273636326e-01,4.294505463776343568e-01
8.584496870486277853e-01,9.297158854011554618e-01,3.737081718053608115e-01
8.479532163742689033e-01,9.371916630113896751e-01,3.252365733382858171e-01
8.607954545454545858e-01,9.443997251398842385e-01,2.853535240454098121e-01
8.857808857808857628e-01,9.467882263559053158e-01,2.533581159845104125e-01
9.099264705882352811e-01,9.515445421614301402e-01,2.278461092082608996e-01
9.099264705882352811e-01,9.515445421614301402e-01,2.073907722118110419e-01
8.993495378295104370e-01,9.493038061202569988e-01,1.907933111455644981e-01
8.993495378295104370e-01,9.540319439033891902e-01,1.771287511549543559e-01
8.993495378295104370e-01,9.609771280450144504e-01,1.657113808584181613e-01
8.993495378295104370e-01,9.655680541573656850e-01,1.560397556592802437e-01
8.993495378295104370e-01,9.655680541573656850e-01,1.477462904537261701e-01
8.993495378295104370e-01,9.679844961240310353e-01,1.405584396378295464e-01
8.993495378295104370e-01,9.726255147215188135e-01,1.342709548910890893e-01
8.993495378295104370e-01,9.749371255895229460e-01,1.287266452193837341e-01
8.993495378295104370e-01,9.749371255895229460e-01,1.238031206794930755e-01
8.993495378295104370e-01,9.749371255895229460e-01,1.194036045376418442e-01
8.993495378295104370e-01,9.749371255895229460e-01,1.154504868345770235e-01
9.111111111111112049e-01,9.749371255895229460e-01,1.118807329753642443e-01
9.111111111111112049e-01,9.749371255895229460e-01,1.086425613249276806e-01
9.217163072007303892e-01,9.772429221630795082e-01,1.056930010819130683e-01
9.217163072007303892e-01,9.795429919818929854e-01,1.029960699288748893e-01
9.217163072007303892e-01,9.795429919818929854e-01,1.005213945554373073e-01
9.217163072007303892e-01,9.818374218374217310e-01,9.824315221040469392e-02
9.217163072007303892e-01,9.818374218374217310e-01,9.613924818288048513e-02
9.217163072007303892e-01,9.818374218374217310e-01,9.419066897639240266e-02
9.217163072007303892e-01,9.818374218374217310e-01,9.238096799167411222e-02
9.217163072007303892e-01,9.818374218374217310e-01,9.069585237495574048e-02
9.217163072007303892e-01,9.818374218374217310e-01,8.912284800835901244e-02
9.217163072007303892e-01,9.818374218374217310e-01,8.765102553017208031e-02
9.217163072007303892e-01,9.818374218374217310e-01,8.627077451872662561e-02
9.440830765719503415e-01,9.818374218374217310e-01,8.497361605664975615e-02
9.440830765719503415e-01,9.818374218374217310e-01,8.375204615532602648e-02
9.440830765719503415e-01,9.818374218374217310e-01,8.259940419866815264e-02
9.440830765719503415e-01,9.818374218374217310e-01,8.150976182482869148e-02
9.440830765719503415e-01,9.818374218374217310e-01,8.047782861918476027e-02
9.440830765719503415e-01,9.818374218374217310e-01,7.949887172299408000e-02
9.440830765719503415e-01,9.818374218374217310e-01,7.856864702741170325e-02
9.440830765719503415e-01,9.818374218374217310e-01,7.768334006372172584e-02
9.440830765719503415e-01,9.818374218374217310e-01,7.683951504792882470e-02
9.440830765719503415e-01,9.841262977856569671e-01,7.603407081347335339e-02
9.440830765719503415e-01,9.841262977856569671e-01,7.526420258622606996e-02
